 , 10cm, 15cm, 20cm, 25cm, 30cm, 35cm, 40cm, 50cm, 60cm, 70cm, 80cm, 90cm,100cm,120cm,140cm
39,602.0,850.0,811.0,730.0,639.0,553.0,478.0,369.0,304.0,259.0,224.0,208.0,185.0,150.0,119.0
40,610.0,858.0,817.0,729.0,635.0,554.0,479.0,370.0,306.0,255.0,225.0,205.0,185.0,149.0,121.0
41,602.0,856.0,808.0,732.0,636.0,554.0,478.0,369.0,306.0,258.0,225.0,201.0,181.0,148.0,118.0
42,599.0,859.0,806.0,729.0,639.0,555.0,479.0,371.0,306.0,256.0,227.0,205.0,181.0,143.0,123.0
43,607.0,858.0,809.0,726.0,638.0,553.0,480.0,371.0,305.0,260.0,229.0,203.0,178.0,150.0,150.0
44,602.0,858.0,809.0,730.0,639.0,559.0,482.0,374.0,305.0,258.0,226.0,205.0,185.0,145.0,122.0
45,598.0,855.0,812.0,730.0,640.0,561.0,484.0,370.0,304.0,259.0,228.0,201.0,179.0,151.0,122.0
46,599.0,859.0,810.0,729.0,638.0,553.0,477.0,367.0,303.0,257.0,227.0,212.0,180.0,149.0,116.0
47,601.0,854.0,811.0,735.0,636.0,549.0,479.0,370.0,309.0,257.0,232.0,203.0,185.0,147.0,117.0
48,593.0,856.0,812.0,736.0,636.0,553.0,479.0,369.0,310.0,258.0,225.0,200.0,186.0,186.0,116.0
49,604.0,853.0,816.0,737.0,638.0,551.0,476.0,375.0,303.0,260.0,226.0,204.0,181.0,149.0,117.0
50,595.0,861.0,812.0,729.0,641.0,553.0,479.0,371.0,301.0,257.0,228.0,200.0,185.0,150.0,124.0
51,596.0,856.0,812.0,729.0,640.0,551.0,480.0,375.0,303.0,260.0,230.0,203.0,184.0,142.0,117.0
52,599.0,857.0,814.0,729.0,640.0,554.0,484.0,368.0,303.0,268.0,226.0,202.0,176.0,146.0,128.0
53,599.0,855.0,815.0,732.0,638.0,553.0,477.0,370.0,304.0,255.0,225.0,205.0,183.0,143.0,118.0
54,600.0,861.0,812.0,733.0,640.0,558.0,474.0,370.0,303.0,257.0,228.0,202.0,178.0,151.0,118.0
55,592.0,855.0,811.0,734.0,638.0,552.0,478.0,370.0,310.0,261.0,226.0,207.0,180.0,140.0,119.0
56,601.0,854.0,812.0,731.0,645.0,551.0,479.0,371.0,304.0,257.0,226.0,205.0,182.0,142.0,119.0
57,601.0,859.0,809.0,730.0,638.0,554.0,475.0,372.0,302.0,258.0,222.0,203.0,184.0,143.0,120.0
58,608.0,856.0,811.0,733.0,638.0,554.0,476.0,372.0,304.0,260.0,227.0,204.0,178.0,151.0,118.0
59,605.0,865.0,811.0,732.0,643.0,555.0,478.0,372.0,303.0,262.0,225.0,205.0,182.0,142.0,124.0
60,599.0,857.0,809.0,730.0,638.0,554.0,479.0,367.0,308.0,255.0,224.0,205.0,183.0,148.0,125.0
61,596.0,859.0,817.0,732.0,637.0,556.0,479.0,370.0,306.0,256.0,225.0,205.0,184.0,139.0,122.0
62,606.0,856.0,811.0,726.0,638.0,554.0,479.0,369.0,307.0,256.0,230.0,207.0,187.0,150.0,123.0
63,598.0,864.0,815.0,738.0,636.0,550.0,481.0,370.0,305.0,257.0,225.0,204.0,177.0,150.0,115.0
64,598.0,858.0,809.0,734.0,640.0,554.0,478.0,374.0,305.0,257.0,224.0,205.0,185.0,143.0,116.0
65,603.0,854.0,811.0,730.0,638.0,550.0,479.0,376.0,302.0,259.0,224.0,200.0,185.0,139.0,118.0
66,605.0,849.0,810.0,761.0,639.0,553.0,477.0,368.0,310.0,255.0,229.0,201.0,180.0,151.0,117.0
67,590.0,860.0,808.0,734.0,640.0,551.0,477.0,367.0,305.0,251.0,225.0,202.0,184.0,142.0,116.0
68,601.0,855.0,811.0,728.0,640.0,554.0,477.0,370.0,301.0,258.0,222.0,201.0,185.0,151.0,117.0
69,600.0,856.0,812.0,730.0,641.0,553.0,483.0,369.0,306.0,257.0,223.0,206.0,187.0,154.0,124.0
70,602.0,857.0,811.0,728.0,641.0,557.0,477.0,370.0,305.0,258.0,226.0,203.0,183.0,154.0,123.0
71,589.0,856.0,813.0,729.0,641.0,553.0,476.0,367.0,306.0,256.0,227.0,205.0,189.0,149.0,116.0
72,603.0,859.0,813.0,726.0,638.0,550.0,478.0,376.0,304.0,263.0,225.0,205.0,186.0,151.0,122.0
73,604.0,868.0,812.0,732.0,639.0,554.0,479.0,369.0,305.0,256.0,227.0,205.0,184.0,147.0,124.0
74,601.0,851.0,807.0,727.0,638.0,551.0,475.0,366.0,307.0,253.0,226.0,203.0,181.0,145.0,123.0
75,605.0,851.0,810.0,727.0,644.0,554.0,478.0,369.0,340.0,258.0,228.0,203.0,187.0,149.0,116.0
76,609.0,862.0,810.0,731.0,638.0,552.0,476.0,369.0,305.0,257.0,230.0,202.0,193.0,151.0,114.0
77,604.0,857.0,812.0,733.0,637.0,559.0,476.0,370.0,302.0,257.0,226.0,202.0,185.0,152.0,116.0
78,594.0,854.0,809.0,731.0,644.0,553.0,477.0,370.0,305.0,260.0,224.0,204.0,241.0,151.0,122.0
79,601.0,857.0,812.0,730.0,638.0,549.0,478.0,376.0,303.0,259.0,224.0,205.0,183.0,141.0,116.0
80,601.0,856.0,810.0,728.0,636.0,553.0,477.0,369.0,304.0,252.0,226.0,199.0,176.0,139.0,116.0
81,594.0,862.0,809.0,729.0,639.0,551.0,476.0,372.0,305.0,255.0,225.0,203.0,178.0,142.0,124.0
82,591.0,854.0,836.0,732.0,641.0,553.0,478.0,371.0,308.0,258.0,225.0,202.0,186.0,151.0,119.0
83,603.0,862.0,810.0,732.0,636.0,554.0,478.0,370.0,304.0,259.0,227.0,206.0,179.0,151.0,128.0
84,601.0,861.0,814.0,725.0,640.0,555.0,479.0,373.0,301.0,257.0,230.0,205.0,180.0,140.0,126.0
85,603.0,860.0,811.0,726.0,639.0,554.0,479.0,372.0,303.0,255.0,225.0,209.0,184.0,153.0,122.0
86,607.0,860.0,808.0,728.0,636.0,555.0,477.0,370.0,302.0,254.0,223.0,205.0,180.0,150.0,116.0
87,593.0,860.0,812.0,736.0,639.0,558.0,480.0,371.0,303.0,255.0,226.0,204.0,186.0,152.0,123.0
88,597.0,850.0,811.0,729.0,638.0,552.0,477.0,376.0,304.0,257.0,225.0,202.0,185.0,151.0,117.0
89,599.0,858.0,813.0,735.0,637.0,550.0,476.0,371.0,307.0,256.0,225.0,204.0,185.0,143.0,124.0
90,600.0,865.0,813.0,732.0,649.0,552.0,477.0,367.0,304.0,256.0,227.0,212.0,179.0,148.0,116.0
91,604.0,854.0,811.0,729.0,639.0,553.0,478.0,371.0,303.0,261.0,227.0,203.0,184.0,140.0,124.0
92,601.0,851.0,813.0,729.0,639.0,555.0,480.0,370.0,303.0,259.0,226.0,199.0,191.0,152.0,124.0
93,594.0,857.0,818.0,731.0,637.0,551.0,479.0,370.0,304.0,264.0,229.0,208.0,178.0,141.0,129.0
94,599.0,850.0,810.0,728.0,635.0,555.0,478.0,370.0,304.0,258.0,226.0,204.0,176.0,150.0,125.0
95,599.0,859.0,806.0,731.0,638.0,554.0,479.0,370.0,304.0,257.0,224.0,200.0,178.0,149.0,122.0
96,596.0,855.0,816.0,726.0,639.0,553.0,475.0,375.0,303.0,258.0,225.0,206.0,184.0,143.0,116.0
97,605.0,856.0,812.0,726.0,637.0,550.0,479.0,369.0,305.0,259.0,225.0,203.0,180.0,140.0,121.0
98,605.0,854.0,805.0,732.0,639.0,554.0,476.0,368.0,304.0,255.0,226.0,203.0,177.0,154.0,116.0
99,603.0,856.0,811.0,731.0,638.0,553.0,478.0,376.0,306.0,258.0,225.0,199.0,180.0,151.0,116.0
