t,x,y,lum
57.125,-71.03104519,-76.0159619,184.1334842
57.16666667,-71.07881911,-76.0050914,184.2984842
57.20833333,-71.15894723,-75.98951356,183.7305633
57.25,-71.33804007,-75.9711761,184.6704494
57.29166667,-71.65275697,-75.92735116,184.4095741
57.33333333,-71.95266725,-75.92095194,184.4031108
57.375,-72.23806766,-75.89104886,184.7848917
57.41666667,-72.71865919,-75.77912013,185.0210886
57.45833333,-73.06699236,-75.8206682,184.5416392
57.5,-73.49821384,-75.73258214,185.086269
57.54166667,-73.99634943,-75.79431547,184.7155161
57.58333333,-74.40799367,-75.7813901,185.2983981
57.625,-74.93379969,-75.7685486,186.1982147
57.66666667,-75.36671059,-75.8272842,186.5004494
57.70833333,-75.92826521,-75.83033786,186.0246933
57.75,-76.29674668,-75.88669222,185.8333155
57.79166667,-76.85008675,-75.92372674,186.0370317
57.83333333,-77.15773292,-75.95888299,186.946735
57.875,-77.84245499,-75.95194613,186.8073133
57.91666667,-78.16145798,-75.98521854,187.2875868
57.95833333,-78.84229171,-75.99093154,186.8600949
58,-79.05550621,-76.03938195,186.3919146
58.04166667,-79.62103135,-76.0528679,187.0665886
58.08333333,-80.00372417,-76.06363202,186.7358671
58.125,-80.33420786,-76.11602356,186.3225253
58.16666667,-80.84404083,-76.10238898,186.972146
58.20833333,-81.07738699,-76.11686168,186.2712208
58.25,-81.65180399,-76.16267208,185.802877
58.29166667,-81.99393511,-76.16509394,185.8768025
58.33333333,-82.31226614,-76.24429264,185.6067215
58.375,-82.76705769,-76.28862606,184.7246019
58.41666667,-83.00509838,-76.25877183,184.6837437
58.45833333,-83.35486321,-76.42851145,184.8047278
58.5,-83.71921597,-76.37127519,184.8171693
58.54166667,-84.01373986,-76.48184408,184.921278
58.58333333,-84.43686235,-76.59512605,184.9618694
58.625,-84.78617152,-76.923955,185.672086
58.66666667,-85.05086689,-77.04678695,186.025019
58.70833333,-85.43512935,-77.13559658,184.9864684
58.75,-85.776708,-77.167094,184.7500288
58.79166667,-86.01077864,-77.20899605,184.6070978
58.83333333,-86.29913948,-77.4221171,184.4425637
58.875,-86.68691807,-77.53690687,184.0739455
58.91666667,-87.02477518,-77.94321368,183.8844129
58.95833333,-87.15614357,-78.0157539,185.283731
59,-87.05238469,-78.01634565,185.3972794
59.04166667,-87.03367168,-78.01048485,185.1730063
59.08333333,-87.02323037,-78.01970383,185.9173481
59.125,-87.00790815,-78.02296878,185.6152437
59.16666667,-87.00386101,-78.03221009,185.7486709
59.20833333,-86.99907529,-78.03273015,185.3075886
59.25,-86.98977326,-78.02809122,185.9036361
59.29166667,-86.99069756,-78.02935458,185.4453481
59.33333333,-86.99088903,-78.02183316,185.9800918
59.375,-86.98669314,-78.03163344,185.5323797
59.41666667,-86.98416892,-78.03415547,185.4855127
59.45833333,-86.9851411,-78.03312124,185.8048639
59.5,-86.98550928,-78.02889366,185.5900981
59.54166667,-86.97877697,-78.03576685,185.4843101
59.58333333,-86.96681575,-78.03163197,185.5294399
59.625,-86.97031977,-78.02484264,185.2517373
59.66666667,-86.95862129,-78.0203675,185.3585158
59.70833333,-86.94668767,-78.01257265,185.6648829
59.75,-86.93234837,-78.00364854,185.5261456
59.79166667,-86.90382285,-77.9991994,185.3756139
59.83333333,-86.82489844,-77.96354699,185.8948766
59.875,-86.79306279,-77.94594267,186.7035475
59.91666667,-86.77233181,-77.95065713,186.477581
59.95833333,-86.81818484,-77.94868812,186.6009968
60,-86.79721438,-77.93561799,186.7832952
60.04166667,-86.81693806,-77.92675449,186.9593987
60.08333333,-86.78272323,-77.91901306,186.5204322
60.125,-86.76131163,-77.9171676,186.8037911
60.16666667,-86.77950812,-77.91424589,187.0734968
60.20833333,-86.68634753,-77.88888543,186.7557215
60.25,-86.41703951,-77.80847717,187.2929651
60.29166667,-86.07913794,-77.6513985,187.2044904
60.33333333,-85.95306945,-77.57674606,187.6120095
60.375,-85.91024112,-77.3257058,187.540551
60.41666667,-85.73347115,-77.03625674,187.422557
60.45833333,-85.56192499,-76.89173286,187.0646794
60.5,-85.23467379,-76.68652566,187.1142812
60.54166667,-85.00769515,-76.37062623,187.4534413
60.58333333,-84.83597838,-76.06162603,187.2085773
60.625,-84.44241118,-75.97810948,186.8378423
60.66666667,-84.04517399,-75.82863391,187.763262
60.70833333,-83.93871333,-75.45797966,188.1023079
60.75,-83.83027093,-75.08123695,187.878623
60.79166667,-83.57057534,-74.92980005,188.087347
60.83333333,-83.25758313,-74.78373307,188.0895144
60.875,-83.05605542,-74.26161475,188.3992184
60.91666667,-82.94622348,-74.02516977,188.682962
61,-82.35685499,-73.53417747,187.7409494
61.04166667,-82.09795892,-73.20551154,188.5509647
61.08333333,-81.93978355,-73.00797185,188.9634574
61.16666667,-81.30939779,-72.55177011,188.7442595
61.20833333,-81.07845279,-72.22806643,190.2157717
61.25,-80.90713266,-71.97843823,190.6822437
61.29166667,-80.70241423,-71.7463298,189.8905732
61.33333333,-80.56206244,-71.27162347,190.0916435
61.375,-80.48778338,-70.99809289,189.7061061
61.41666667,-80.28350675,-70.81430147,189.6498173
61.45833333,-80.05695108,-70.41784054,189.8554114
61.5,-79.95835793,-70.05111831,189.5567611
61.54166667,-79.84918801,-69.90471772,188.7356234
61.58333333,-79.64389027,-69.57268895,189.5503428
61.625,-79.54573579,-69.24292166,190.0344121
61.66666667,-79.44499255,-69.00322395,190.2314615
61.70833333,-79.13693778,-68.79618391,191.0009522
61.75,-78.98739965,-68.30210457,190.9241861
61.79166667,-78.90152456,-68.01969864,190.8689462
61.83333333,-78.82575762,-67.84350537,190.3642357
61.875,-78.74382065,-67.41476683,190.123269
