t,x,y,lum
7.541666667,-2.525564451,-45.90279726,206.1004791
7.583333333,-2.140502045,-46.16413496,206.1199712
7.625,-1.948676247,-46.38005055,206.4855316
7.708333333,-1.536977497,-47.16350942,206.5727215
7.75,-1.107425022,-47.50565903,206.0996218
7.791666667,-0.8978411019,-47.99700987,206.1615226
7.833333333,-0.695603869,-48.17171941,206.2555701
7.875,-0.1996785431,-48.45043219,206.0066921
7.916666667,0.07647796729,-48.88121341,205.9110643
7.958333333,0.184357204,-49.15581795,205.9471388
8,0.482142407,-49.29325247,205.362
8.041666667,0.8167372832,-49.79380106,205.7882412
8.083333333,0.9941586127,-50.12086298,205.7016877
8.125,1.098124753,-50.28428559,205.3735879
8.166666667,1.313615801,-50.6928421,205.0695253
8.208333333,1.617941743,-51.06068766,204.8568726
8.25,1.96428565,-51.24840045,205.2726994
8.291666667,2.148109256,-51.67669341,205.1304667
8.333333333,2.375991044,-52.06756959,205.1425492
8.375,2.798996902,-52.29113397,205.0775457
8.416666667,3.047793148,-52.8239338,205.5635918
8.458333333,3.149783435,-53.14267508,204.9988762
8.5,3.307510149,-53.34583536,204.730519
8.541666667,3.740857698,-53.93864075,204.5519297
8.583333333,3.918724603,-54.13610909,204.1178513
8.625,4.012161308,-54.32746341,204.2673533
8.666666667,4.119570979,-54.76767288,204.5941804
8.708333333,4.215079248,-55.05125331,204.1125127
8.75,4.435539665,-55.24415702,204.6439143
8.791666667,4.719695144,-55.70588737,204.446508
8.833333333,4.940435422,-56.07235431,204.4908535
8.875,5.026107949,-56.25091526,204.4548121
8.916666667,5.156543308,-56.68601372,204.7427587
8.958333333,5.292068685,-57.071812,204.0020603
9,5.736256776,-57.30397214,203.7841646
9.041666667,5.877823615,-57.53077137,203.9415492
9.083333333,6.049465035,-57.94922742,204.1498466
9.125,6.097051547,-58.19456872,204.0828418
9.166666667,6.172497766,-58.51613694,204.1136372
9.208333333,6.296077754,-59.03608148,203.2873742
9.25,6.610681091,-59.29343977,203.3365552
9.291666667,6.809503059,-59.70099551,203.7998019
9.333333333,6.992989384,-60.03993785,203.6708766
9.375,7.036897129,-60.21453228,203.7271234
9.416666667,7.056992281,-60.4895384,203.4881397
9.458333333,7.169977285,-60.90591252,202.9271672
9.5,7.246342031,-61.13286998,203.1549151
9.541666667,7.329722793,-61.46402476,203.1527089
9.583333333,7.619740522,-61.96545424,202.6512596
9.625,7.796881158,-62.21677397,203.4799148
9.666666667,7.960527238,-62.68817057,203.2781167
9.708333333,8.025132072,-63.05349019,202.7345584
9.75,8.101194144,-63.22701428,203.019731
9.791666667,8.166509819,-63.64139172,202.8805363
9.833333333,8.243312228,-64.03502316,202.4457134
9.875,8.390457752,-64.2032453,202.3198825
9.916666667,8.602697098,-64.6168986,201.9367923
9.958333333,8.849655827,-65.05919348,202.5722962
10,8.953535461,-65.25529665,202.4303892
10.04166667,9.040497492,-65.83253317,202.1328671
10.08333333,9.078895787,-66.10825521,202.0268354
10.125,9.109876301,-66.29347524,202.0984196
10.16666667,9.135467859,-66.81690419,201.6254159
10.20833333,9.173813513,-67.09855198,201.8145886
10.25,9.194742138,-67.2531438,201.159544
10.29166667,9.215788623,-67.55469836,201.1380158
10.33333333,9.280376741,-68.001472,200.4843794
10.375,9.280526071,-68.21429587,200.9339747
10.41666667,9.364907598,-68.46865852,200.3925714
10.45833333,9.46004814,-68.97577259,200.1565737
10.5,9.483489289,-69.14671731,200.1145223
10.54166667,9.489974793,-69.35148676,200.6888141
10.58333333,9.604045138,-69.79712857,200.5788942
10.625,9.716652727,-70.08164779,201.0950639
10.66666667,9.72113106,-70.28742964,200.9687563
10.70833333,9.834299242,-70.76292884,200.9602317
10.75,9.910786744,-71.08421965,201.0539051
10.79166667,9.89575453,-71.31972827,200.8061656
10.83333333,9.961538773,-71.71436098,200.1534762
10.875,9.984237429,-72.04257255,200.2482911
10.91666667,9.995099649,-72.19868727,199.945693
10.95833333,9.995805346,-72.46731709,199.6708408
11,10.02956526,-72.92673713,199.2055255
11.04166667,10.02570997,-73.14267002,199.5987278
11.125,10.05803952,-73.92739232,199.4244937
11.16666667,10.04977246,-74.09312929,199.489793
11.20833333,10.04891098,-74.2330917,199.2193312
11.25,10.03992637,-74.56795109,199.3526994
11.29166667,10.04087204,-75.02359598,199.1864363
11.375,10.03302957,-75.33954704,199.0827247
11.41666667,10.03521947,-75.81983877,199.0075584
11.45833333,10.03564485,-76.0737958,199.0896551
11.5,10.02644138,-76.21424694,199.225586
11.54166667,9.99468334,-76.53627794,198.9360889
11.58333333,10.02880713,-76.94238641,199.1612643
11.625,9.983266397,-77.17115246,199.1597278
11.66666667,9.986895057,-77.41135787,199.143807
11.70833333,9.985742703,-77.82566558,198.6449841
11.75,9.987715341,-78.04624049,198.9862563
11.79166667,9.949955115,-78.19811775,199.118212
11.83333333,9.915202087,-78.40659439,198.8699016
11.875,9.880202466,-78.76162297,198.653
11.91666667,9.89028351,-79.0334935,198.6070949
11.95833333,9.856748208,-79.18346968,198.7630541
12,9.796882141,-79.32705099,198.9657025
12.04166667,9.765758751,-79.58730723,198.4367206
12.08333333,9.738873421,-79.92798777,198.6543365
12.125,9.669628703,-80.12972063,198.5289715
12.16666667,9.641942809,-80.26403656,198.809273
12.20833333,9.581392314,-80.44096344,198.8314249
12.25,9.444723439,-80.61270377,198.8319556
12.29166667,9.389454909,-80.6556407,198.3094345
12.33333333,9.309662088,-80.88982237,197.5596891
12.375,9.262398435,-80.97915484,197.4958857
12.41666667,9.21760888,-81.09712483,198.173327
12.45833333,9.150542032,-81.24533801,197.6220568
12.5,9.10972869,-81.47578517,197.7557397
12.54166667,9.022792683,-81.69702186,197.4965847
12.58333333,9.01655016,-81.98248752,197.8547057
12.625,8.949741741,-82.07259292,197.8349462
12.66666667,8.956710645,-82.14960861,197.7598121
12.70833333,8.898097712,-82.21567454,197.994769
12.75,8.862867861,-82.30046229,197.7870443
12.79166667,8.724143437,-82.50816691,197.8410222
12.83333333,8.632431939,-82.73618608,197.6820225
12.875,8.464661208,-82.91205969,197.8404728
12.91666667,8.377125792,-82.98584554,197.1218722
12.95833333,8.250578235,-83.09618513,197.1017508
13,8.218550328,-83.17422526,196.978443
13.04166667,8.107315762,-83.34693271,196.7347035
13.08333333,7.997877996,-83.77709638,196.4145778
13.125,7.829391897,-84.07855989,196.3067197
13.16666667,7.666794063,-84.21757053,196.6189748
13.20833333,7.422626915,-84.48098124,195.9743397
13.25,7.169910098,-84.93166136,195.7286294
13.29166667,7.048914265,-85.18908691,195.9112753
13.33333333,6.916775725,-85.70445219,196.0236392
13.375,6.654183945,-86.16781285,195.9804051
13.41666667,6.288589532,-86.7891088,195.6898854
13.45833333,6.091952073,-87.14904529,196.1547302
13.5,5.97551826,-87.57656152,196.0695566
13.54166667,5.56653015,-88.10249553,196.1531401
13.58333333,5.185015404,-88.73494358,195.7811054
13.625,5.034908537,-89.21375525,195.1437746
13.66666667,4.838888317,-89.90018173,195.6281429
13.75,4.33576205,-90.90878747,194.9680442
13.79166667,4.15436598,-91.26001133,194.7243683
13.83333333,4.069585555,-92.04666474,195.0057405
13.875,3.945719379,-92.44388384,195.3406433
13.91666667,3.878900399,-93.07246032,195.3076465
13.95833333,3.696946497,-93.54527784,196.0526183
14,3.493245178,-94.10574666,195.8639582
14.04166667,3.312708936,-94.71273697,196.0556613
14.08333333,3.225615151,-95.19286356,195.0118822
14.125,3.156838397,-95.81757908,195.6138486
14.16666667,3.110497816,-96.1690719,195.2127468
14.20833333,3.074509381,-96.75194249,195.3360221
14.25,3.060943067,-97.20592741,195.4550475
14.29166667,3.032371749,-97.93394113,195.7126108
14.33333333,3.030965913,-98.30624785,196.1910538
14.375,3.029981919,-99.02548557,196.0858265
14.41666667,3.039220962,-99.34631659,196.0480759
14.45833333,3.079553651,-100.0119244,196.2340662
14.5,3.080800833,-100.2832203,196.1872911
14.54166667,3.129787252,-101.0383267,196.2063639
14.58333333,3.205785003,-101.4806067,195.5750411
14.625,3.231148425,-102.0513548,195.5945949
14.66666667,3.334981839,-102.3949578,195.8796234
14.70833333,3.448334256,-102.992125,195.5147724
14.75,3.789106835,-103.328426,195.9841656
14.79166667,3.995307548,-104.0126544,196.6912857
14.83333333,4.069929927,-104.3413344,196.5946867
14.875,4.160013961,-104.9816532,196.3688797
14.91666667,4.355191884,-105.2720238,195.7216825
14.95833333,4.635642408,-105.9302812,196.4800994
15,4.981003394,-106.2483196,196.4182524
15.04166667,5.118178359,-106.9499269,197.0147683
15.08333333,5.353450595,-107.3426528,196.5275253
15.125,5.933676956,-108.0301552,196.3641474
15.16666667,6.149273863,-108.3265113,196.8868481
15.20833333,6.415542848,-108.8369809,196.730073
15.25,6.875121125,-109.1579733,196.7727019
15.29166667,7.099711532,-109.537958,196.7078139
15.33333333,7.283981536,-110.0670937,196.8799361
15.375,7.795212333,-110.3608338,196.6826709
15.41666667,8.137173188,-110.8971193,196.678869
15.45833333,8.580715172,-111.1806208,196.9101981
15.5,9.069105577,-111.5816986,196.1685801
15.54166667,9.414198149,-111.9751755,196.4257668
15.58333333,9.967634527,-112.2304965,196.0751302
15.625,10.35080606,-112.650278,196.0113365
15.66666667,10.89889888,-113.1074727,196.1106538
15.70833333,11.1749278,-113.3511062,196.1793742
15.75,11.90190373,-113.8261262,195.9993408
15.79166667,12.25371455,-114.0643211,195.7304214
15.83333333,12.96139202,-114.2068802,195.4789652
15.91666667,13.92123485,-114.685234,195.3609429
15.95833333,14.28923624,-114.9886265,195.7385063
16,15.00315851,-115.0922053,195.2277595
16.04166667,15.30152937,-115.179169,195.7183038
16.125,16.27220987,-115.4009471,195.4129842
16.16666667,16.94468387,-115.5628802,195.6273387
16.25,18.06313243,-115.9556538,195.2605955
16.29166667,18.62472252,-116.0274612,195.6790444
16.33333333,19.11411256,-116.0693454,195.7305142
16.375,19.6212748,-116.0967822,195.5898418
16.41666667,20.13154868,-116.0863977,195.4011624
16.45833333,20.89107615,-116.1046004,195.2506572
16.5,21.20868105,-116.0816438,195.7476761
16.54166667,21.94585054,-116.0638994,195.4286867
16.58333333,22.29768206,-116.0203286,195.3521433
16.625,22.9881095,-115.9575499,195.4545918
